1,52
53,114
115,188
189,262
263,226
337,410
411,514
515,580
581,655
656,720
721,771
772,869
870,1040
1041,1114
1115,1188
1189,1235
1236,1309
1310,1383
1384,1457
1458,1531
1532,1605
1606,1678
1679,1752
1753,1826
1827,1900
1901,1974
1975,2048
2049,2122
2123,2196
2197,2270
2271,2344
2345,2418
2419,2492
2493,2551
2552,2625
2626,2699
2700,2773
2774,2847
2848,2921
2922,2995
2996,3069
3070,2143
3144,3217
3218,2291
3292,3365
3366,3439
3440,3513
3514,3587
3588,3661
3662,3735