just around the corner,間近に来て
be crowded with ~,~で混雑している
take a day off,(1日の)休暇を取る
at work,"働いている,仕事中で"
dress oneself,服を着る
for example [instance],たとえば
put on ~,"~を着る,~身につける;~のふりをする"
instead of ~,~の代わりに
be popular with [among] ~,~に人気がある
be dressed in ~,~を着ている
on time,時間通りに
on earth,一体全体
take care of ~,~の世話をする
quite a few,かなり多くの
can afford to ~,~する余裕がある
be strict with ~,~に厳しい
insist on ~,~を主張する
behave oneself,行儀よくする
at all times,"いつも,常に"
these days,最近
appeal to ~,"~(人)に懇願する,~(人)の心に訴える"
spend ~ on ...,...に~を費やす
spend ~ (in) ...ing,~を...することに費やす
bo forced to do ...,"...せざるをえない,やむをえず...する"
move to ~,~に引っ越す
take ~ aback,~をびっくりさせる
be fond of ~,~を好む
hold up ~,~を阻止する;~を持ち上げる
prefer ~ to ...,...より~を好む
be satisfied with ~,~に満足している
at any time,いつでも
at the mercy of ~,"~に左右されて,~のなすがままで"
get into ~,~の中へ入る
supply ~ with ...,~に...を供給する
shake hands (with ~),(~と)握手する
originate in ~,~に始まる
come across [upon] ~,"~に偶然出くわす,~をふと見つける;{自}理解される"
reach for ~,~を取ろうと手を伸ばす
out of fear,恐怖心から
in spite of oneself,"我知らず,思わず"
each other,お互い
lay aside ~,~を(横に)置く
be in danger,危険な状態にある
give off ~,~を発散する
be essential [indispensable] to ~,~に欠くことができない
take measures to ~,手段を講じる
in the future,将来
in addition to ~,~に加えて
clear ~ of ...,~から...を片付ける
make room for ~,~に場所を譲る
be true of ~,~に当てはまる
in the process of ~,~の過程で
at this rate,この割合で
owe ~ to ...,"AはBのおかげである,AをBに借りている"
make one's way,(苦労して)進む
at the age of ~,~の年齢で
look for ~,~を探す
devote oneself to ~,~に専念する
be engaged in ~,~に従事している;~で忙しい
see to ~,~に気をつける;~を取り計らう;~の世話をする
set up ~,"~を設立する,作る;~を引き起こす"
as a result,その結果として
prove to be ~,~であると判明する
bring out ~,~を出版する;~を明らかにする
point of view,"観点, 見地, 考え方"
break away from ~,~と関係を断つ
for oneself,独力で
take the lead (in ... ing),(...するのに)先頭に立つ
look out (for ~),(~に)気をつける
in time,やがて;間に合って
run over ~,~をひく
that is (to say),"すなわち,言い換えれば"
by means of ~,"~を用いて,~で"
catch sight of ~,~を見つける
make a noise,騒音を立てる
in other words,言い換えれば
take note of ~,~に気づく
for the time being,"当分の間,さしあたり"
take advantage of ~,~を利用する(悪い意味でも)
be dependent on ~,"~に頼る,~次第である"
make up for ~,~の埋め合わせをする;~を取り戻す
by oneself,一人ぼっちで;独力で;ひとりでに
pay attention to ~,~に注意を払う
apply for ~,"~(職・仕事)を申し込み,志願する"
make a one's living,"収入を得る, 生計を立てる"
see the sights of ~,~を見物する
at the same time,同時に;それでもやはり
pay a visit to ~,~を訪ねる
after all,"ついに,結局"
be equal to ~,"~に等しい,~と互角である;~(仕事など)をする力量がある"
carry out ~,~を実行する
in case of ~,~の場合は
depend on ~,~に頼る
think little of ~,~を軽んじる
pride oneself to ~,~を誇りに思う
as a matter of fact,"実際のところ,実は"
be gifted with ~,~に恵まれている
suspect ~ of ...,~に...の容疑をかける
not ... by any means,決して...ない
admit ~ (to ...),~を...に認める;~の入学を許す
nothing more than ~,~にすぎない
think twice,よく考える
in fact [reality],実際に;(ところが)実は
fall [come] short of ~,~に達しない
in respect of ~;with respect to ~,~に関して
be acquainted with ~,~と知り合いである;~に精通している
for the most part,大部分
of one's own accord,自発的に
by choice,"進んで, 選ぶとすれば"
tend to do ...,...する傾向がある
be different from ~,~と違う
on the whole,"概して,だいたいは"
be representative of ~,~の典型を示す
in common,"共通の,共通して"
close to ~,~の近くに
play a part [role] in ~,~の役割を演じる
because of ~,"~のために,~のせいで"
"have an effect [influence,impact] on ~",~に効果[影響]がある
be composed of ~,~からできている
do without ~,~なしですます
in short supply,不足して
such as ~,たとえば~のような
be rich [abundant] in ~,~が豊富である
in part,一つには
on the increase,増加中で
on the average,平均して
keep up with ~,~に遅れないでついていく
take steps (to do ...),(...する)処置を講じる
by accident [chance],"たまたま,偶然に"
all the way (from ~),はるばる[わざわざ](~から);途中ずっと
in nine cases out of ten,十中八九
make friends with ~,~と親しくなる
put ~ into ...,~を...(言葉など)で表現する
leave ~ to ...,~を...に任せる
have ~ in mind,~のことを思っている
for the first time,初めて
make progress,進歩する
get to ~,~に到着する
be content to ~,喜んで~する
have no idea,わからない
take to ~,"~が好きになる;(習慣的に)~を始める,~にふける"
expose ~ to ...,~を...にさらす
by accident [chance],"たまたま,偶然に"
find out ~,~を発見する
prevent ~ from ...ing,~が...するのを妨げる
come to ~,~するようになる
go bad,腐る
give up ~,"~をあきらめる,~をやめる"
make ~ from ...,...から~を作る
add to ~ / add ~ to ...,~を増す/...に~を足す
to some extent,ある程度
be likely to do ...,...しそうである
distinguish ~ from ...,"~と...を見分ける,識別する"
take notice of ~,"~に注意を払う,~を無視しない"
be absorbed in ~,"~に夢中である,~に没頭する"
be bent on ~,~に熱中している
concentrate (~) on ...,"(~を)...に集中する,注意を向ける"
of great interest,大変おもしろい
bring about ~,~を引き起こす
work on ~,~に影響を与える;~に取り組む
in oneself,それ自身
under the control of ~,~に支配されて
above all,"とりわけ,何よりもまず"
classify ~ to ...,~を...に分類する
and so on [forth],~など
What is the matter with ~ ?,
be superior to ~,~より優れている
many a [an] ~,多くの~
take ~ for example,~を例に取る
be inferior to ~,~より劣っている
be aware of ~,~に気づいている
give rise to ~,"~を引き起こす,~のもとになる"
be connected with ~,~と関係している
be ignorant of ~,~を知らない
be conscious of ~,"~に気づいている,~を知っている"
cope with ~,~をうまく処理する
get [rise] to one's feet/jump to one's feet,立ち上がる/飛び上がる
let alone ~,~は言うまでもなく
in accordance with ~,~に従って
in proportion to ~,~に比例して;~の割には
at issue,論争中の
as to ~,"~に関しては,~について"
inform ~ of ...,~に...を知らせる
believe in ~,"~(の存在)を信じる,~をよいことだと信じる"
be wrong with ~,~の調子が悪い;~が故障している
deprive ~ of ...,~から...を奪う
on the other hand,"他方では,これに反して"
count for much,非常に重要である
take the place of ~,"~の代わりをする,~に取って替わる"
come before ~,~より優先する
all but ~,ほとんど~
"at the cost [expense,price] of ~",~を犠牲にして
stand for ~,"~を表す,~を象徴する;~を支持する"
at will,意のままに
drive out,~を追い出す
thanks to ~,"~のおかげで,~のせいで"
look forward to ~,~を楽しみにして待つ
make money,金を儲ける
think much of ~,~を高く評価する
be proud of ~,"~を自慢する,誇っている"
make a contribution to ~,~に貢献する
a variety of ~,さまざまな~
give away (~),~をただでやる;~(秘密など)を明らかにする;(~に)屈する
come into being [existence],"出現する,生まれ出る"
first of all,まず第一に
apart [aside] from ~,"~は別にして,~はとにかく"
draw attention to ~,~に注意を引く
be liable to do ...,"...する傾向がある,...しそうだ"
be characteristic of ~,"~の特徴である,~に特有である"
in contrast with [to] ~,~とは対照的に
have difficulty [trouble] (in) ...ing,...するのに苦労する
(as) compared with [to] ~,~と比べて
in need of ~,~を必要として
share ~ with ...,...を~と分かちあう
be specific to ~,~に特有である
be essential [indispensable] to ~,~に欠くことができない
to some degree,ある程度
at first sight,"一目で,一見したところで"
at random,"手当たり次第に,でたらめに"
complain of [about] ~,~の不平を言う;~を訴える
in line,並んで
be filled with ~,~でいっぱいである
in a hurry,急いで
at leisure,ゆっくりと
more often than not,たいてい
at ease,くつろいで
go through ~,~を経験する;~を調べる;~を通り抜ける
take a trip,旅をする
be determind to ~,~することを固く決心している
do [try] one's best,最善を尽くす
adapt ~ to ...,"~を...に順応させる,慣れさせる"
on TV,テレビで
think highly of ~,"~を重んじる,高く評価する"
by comparison,それにひきかえ
make much of ~,"~を重視する,尊重する"
differ from ~,~とは異なる
in general,一般に
prepare for ~,~に備える
set off (~),~をひき立てる;~を急に引き起こす;{自}出発する
graduate from ~,~を卒業する
or else,さもなければ
get in contact with ~,~と接触する
relate ~ to ...,~を...と関連付ける
in order/out of order,整って;順を追って/順序が狂って;調子が悪い
aim at ~,~をねらう
at present,"現在は,目下は"
take ~ for granted,~を当然のことと思う
be accustomed to ~,~に慣れている
look on [upon] ~ as ...,~を...とみなす
struggle for ~,~のために奮闘する
at the risk of ~,~の危険を冒して
be opposed to ~,~に反対である
by birth [nature],"生まれは,生まれながらの"
be apt to do ...,"...する傾向がある,...しがちである"
persist in ~,"~に固執する,~をあくまでも主張する"
be attached to ~,~に愛着をもっている;~に所属する
approve of ~,"~をよいと認める,~に賛成する"
be familiar to ~,~によく知られている
run out of ~,~を切らす
worry about~;be worried about ~,~のことで心配する
be faced with ~,~に直面する
than ever before,以前よりも
some ~ or other,何らかの~
for ever,永久に
bring ~ to one's senses,~を正気に返らせる
search for ~,"~を捜す,求める"
so far,今までのところでは
in vain,むだに
make use of ~,"~を使う,利用する"
lie in ~,~にある
come home to ~,~に(とって)痛切に感じられる
in prospect,見込まれて
in advance,前もって
get ~ ready for ...,...のために~を準備する
hold true,当てはまる
at one's convenience,~の都合のよい時に
at any rate,"とにかく,いずれにしても"
at hand,"近づいて,手元に"
be anxious to do ...,...することを切望する
do away with ~,~を廃止する;~を取り除く
see ~ off,~を見送る
come to [arrive at] the conclusion that ...,...という結論に達する
be lacking [wanting] in ~,~に欠けている
put oneself into one's shoes,~の立場になって考える
be subject to ~,"~の支配を受ける,~に服従する;~に影響されやすい;~しがちである"
by air,飛行機で
limit ~ to ...,~を...に制限する
force ~ to ...,~を...に押し付ける
be obliged to do ...,"...せざるをえない,やむをえず...する"
pay ~ for ...,...の代金として~を払う
feel for ~,~を手探りで探す;~に同情する
over and over (again),"再三再四,何度も繰り返して"
put up with ~,"~を我慢する,~に耐える"
more or less,"多かれ少なかれ,だいたい"
in childhood,子供の頃に
be to blame (for ~),(~について)責任がある
provide ~ with ...,"~に...を与える,供給する"
except for ~,~(はあるがそれ)を除けば
in the main,概して
think of ~,~を思い出す;~を思いつく;~のことを考える
by [in] virtue of ~,"~によって,~のおかげで"
be contrary to ~,~に反している
do ~ good/do good to ~,~(人など)のためになる
be capable [incapable] of ~,~できる[できない]
of one's own,~自身の
pick up ~,~を(偶然)手に入れる;~(人)を(車で)迎えに行く;~(外国語・知識など)を身につける;~を拾い上げる
turn away (~),顔をそむける;~を退ける
be ready for ~,~の準備ができている
put off ~,~を延期する
say to oneself,心のなかで思う
suffer from ~,"~(病気など)で苦しむ,~の病気をしている"
belong to ~,~に属する
in a low voice,低い声で
at an end,終わって
at last,ついに
on end,続けて
in a way [sense],ある点[意味]で
go on ...ing,...し続ける
day after day,くる日もくる日も
learn ~ by heart,~を暗記する
put ~ in prison,~を投獄する
write down ~,~を書き留める
in full,全部
play a trick [joke] on ~,"~をからかう,~に悪ふざけをする"
a sheet of ~,一枚の~
stare at ~,~をじっと見つめる
a pair of ~,一組の~
put ~ together,~をまとめる
a bit,ほんのわずか
do ~ harm [damage]/do harm [damage] to ~,~(人など)に害を与える
no ~ whatever,少しも~ない
at a glance,"一目で,一見して"
be keen on ~,~に熱中している
on one's behalf,~のために
make an estimate of ~,~を概算する
something like ~,およそ~
nothing but ~,"~だけ,~にすぎない"
as it were,いわば
be content with ~,~に満足している
every other ~,~おきに
be impressed with ~,~に感銘を受ける
in the first place,まず第一に
in fashion,流行している
apply to ~,~に当てはまる
with ~ in view,~を視野に入れて
make both ends meet,収入内でやりくりする
stand on one's own feet,自立する
work one's way,苦労して進む
live on [upon] ~,~を常食とする;~で生活する
out of the question,"問題にならない,とても不可能な"
out of work,仕事がない
no doubt,"たぶん,おそらく"
by birth [nature],"生まれは,生まれながらの"
be poor at~,~が苦手である
time after time,何度も
get lost,(道に)迷う；途方に暮れる
on one's [the] way (to~),(~への)途中で
head for ~,~へ向かう
no longer ~,もはや~ない
now and then,時々
direct A to B,AにBへの道を教える
as usual,いつものように
turn back ~,引き返す；~を引き返させる；元に戻る
in search of ~,"~を探して,求めて"
be short of ~,~が不足している
kill time,"時間をつぶす,暇つぶしをする"
come about,起こる
make an appointment with ~,~と会う約束をする
fill in (~),(空所など)を埋める;代理をする
be based on [upon] ~,~に基づいている
~ as well,~もまた
fall into ~,~に陥る
of one's own ~ing,~自身で~した
at once,すぐに
get on one's nerves,~の神経にさわる
enjoy oneself,楽しく過ごす
to one's heart's content,"心ゆくまで,思う存分"
be afraid of ~,~を恐れている
deal with ~,"~を扱う,~処理する;~と取引をする"
well off,裕福な
put A in touch with B,AがBと連絡をとれるようにする
get married to ~,~と結婚する
in the course of time,そのうち
turn to ~,~に頼る;~次第だ
call on ~,~を訪ねる
on ... terms with ~,~と...の間柄で
work out (~),~(問題など)を解決する;~を考えだす;{自}うまくいく
hear from ~,~から便りをもらう
part from ~,~(人)と別れる
refer to ~,~に言及する;~を参照する
remind ~ of ...,~に...を思い出させる
far from ~,決して~ではない
all the same,それでもやはり
reflect on [upon] ~,~を熟考する;振り返ってみる
for a while,しばらくの間
in the name of ~,"~の名において,後生だから"
cut down ~,~を切り倒す
die out,絶滅する
turn into ~,"~に変わる,~になる"
due to ~,~のために
on account of ~,~の理由で
only too ...,残念ながら...;非常に...
be responsible for ~,~に責任がある
make an effort [efforts] to do...,...する努力をする
avail oneself of ~,~を利用する
on a large scale,大規模に
interfere with ~,~の邪魔をする
doubt if [whether] ...,...かどうか疑問に思う
take the trouble to do ...,わざわざ...する
within reach,すぐ近くに
believe it or not,
dozens of ~,何十もの~
most of all,とりわけ
to one's taste,"気に入って,好みに合って"
be famous for ~,~で有名である
take delight [pleasure] in ~,"~が好きである,~を楽しみにする"
A rather than B,BよりむしろA
in comparison with ~,~と比べて
substitute ~ for ...,...の代わりに~を用いる
on business,仕事で
Why don't you ~ ?,
drop in (on/at),
make up (~),~を補う;~をでっちあげる;~に化粧する;{自}仲直りをする
care for ~,"~の世話をする;~が好きだ,~を欲しがる"
and so on [forth],~など
take in ~,~を理解する;~をだます;~を吸収する
a large number of ~,非常に多くの~
