just around the corner,間近に来て
be compelled to do ...,"...せざるをえない,やむをえず...する"
plenty of ~,多くの~
make a choice,選択する
look after ~,~の世話をする
in the world,一体全体
in charge of ~,"~を預かって,~の担当の"
as for ~,~について[関して]言えば
amount to ~,~に等しい;~を意味する
put pressure on ~,~を圧迫する
be in good health,健康である
be free from ~,"~を免れている,~に悩まされない"
act on [upon] ~,~に作用(影響)する;~に基づいて行動する
as the saying goes,諺にもあるように
to the full,十分に
take a chance,思い切ってやってみる
in youth,若い頃
in the end,結局は
in [with] regard to ~,~に関しては
point out ~,~を指摘する
put ~ to use,~を利用する
consist of ~,~から成り立っている
be [feel] inclined to do ...,...したい気がする
associate ~ with ...,"~を...と結び付けて考える,~から...を連想する"
all the time,いつも
in fact [reality],実際に;(ところが)実は
live up to ~,~に基づいて行動する;~(期待など)に応える
not a few,かなり多数の
derive ~ from .../be derived from ~,...から~を引き出す/~に由来する
rest on [upon] ~/rest with ~,~に頼る;~次第だ/~に責任がある
in obedience to ~,~に従って
in practice,実際上
account for ~,~を説明する;~の原因となる;~の割合を占める
give way (to ~),"(~に)屈する,(~に)道を譲る;壊れる"
be concerned about ~,~について心配する
"for one thing ~ (,for another ...)","一つには~で(あり,一つには...である)"
take away ~ (from ... ),(...から)~を取り去る
result in ~,"~という結果になる,~で終わる"
figure out (~),~を理解する;~を解決する
respond to ~,~に答える
take the initiative in ~ ing,率先して~する
do with ~,~を処理する;~で我慢する;~の必要がある
be conditioned to ~,~に慣れている
in particular,とくに
have an impact on ~,~に影響を与える
get used to ~,~に慣れる
sympathize with ~,~に同情する;~に共鳴[賛成]する
pass through ~,~を経験する
be sure to ~,必ず~する
be involved in [with] ~,~に巻き添えになる;~に夢中になる
result from ~,(Sが)~の結果として生じる
look to ~,"~を当てにする,~に頼る;~に目を向ける,注意する"
be willing to do ...,喜んで...する
find fault with ~,"~に文句を言う,~を避難する"
speak ill of ~,~の悪口を言う
what we call,いわゆる
in short,要するに
as a whole,"全体として,総体的に"
enter into [on] ~,~(話・仕事[新生活・事業]など)を始める
in turn,"順番に,交代で,(代わって)今度は"
pull up (~),~と止める;~を引き抜く;~を根絶する;{自}止まる
get out of ~,~から降りる
look into ~,~を調べる;~をのぞきこむ
pass by ~,~を通り過ぎる;~を無視する;~を大目に見る
at a loss (for words),途方にくれて(言葉につまる)
in the dark,暗がりで
at length,ついに;詳しく
at the sight of ~,~を見て
break down (~),(機械などが)故障する;崩壊する;取り乱す;~を破壊する
take a look at ~,~を見る
as a token of ~,~の印に
for one's part,自分としては
dream of ~,夢にも~を思う
lend ~ a hand,~に手を貸す
same to you,あなたも同じように
anything but ~,決して~ではない
take charge of ~,~を担当する
hand over ~ (to ...),"~を(...に)引き渡す,譲り渡す"
rob ~ of ...,~の...を奪う
trust ~ to ...,...に~を預ける
be worthy of ~,~だけの値打ちがある
stand out,目立つ
put ~ aside,~をしまっておく
"make sure of ~ [that...,wh- ...]","~を確かめる,~を確保する"
a man of ~,
draw out ~,~を引き出す
at a time,一度に
a good many ~,かなり多くの~
be anxious about ~,~を心配している
in terms of ~,"~の点から,~の立場で"
have nothing to do with ~/have something to do with ~,~と関係がない/~と関係がある
of late,最近
as follows,次の通り(で)
lead to ~,~に通じる;~を引き起こす
from time to time,時々
as a rule,"概して,普通は,一般に"
and yet,"しかし,だが"
go out,消える/死ぬ
by oneself,一人ぼっちで;独力で;ひとりでに
by degrees,"だんだん,次第に"
in panic,あわてふためいて
cry for ~,~を求めて叫ぶ
beside oneself (with ~),"(~で)我を忘れて,怒って"
at any moment,今にも
jump at ~,~に飛びかかる
fall off ~,
come to,意識を取り戻す
be reluctant to do ...,...するのに気が進まない
fall in love with ~,~に恋をする
be against ~,~に反対である
throw oneself into ~,~に見を投げる
at the back of ~,~の後ろで
be a match for ~,~の競争相手である
make a difference,重要である
identify ~ with ...,"~を...と見なす,同一視する"
by contrast,対照的に
a small amount of ~,少量の~
"have an effect [influence,impact] on ~",~に効果[影響]がある
fill up ~,満杯になる
go on with ~,~を続ける
go by,経過する
fade away,消え失せる
push forward ~,~を全面に押し出す
boast of ~,~を自慢する
show off (~),~を見せびらかす;{自}目立ちたがる
major in ~,~を専攻する
look down on ~,"~を見下す,軽蔑する"
separate ~ from ...,~と...を分ける
come to an end,終わる
persuade [talk] ~ into ...;persuade ~ to do ...,~に...するように説得する
persuade [talk] ~ out of ...,~に...しないように説得する
impose (~) on ...,...に~を課す;~を押しつける;...をだます
break out,(戦争・災害などが)起こる
make up one's mind to ~,~する決心をする
starve to death,餓死する
calm down,静まる
take part in ~,~に参加する
on foot,徒歩で
along with ~,~とともに
by and large,概して
from A to Z,何から何まで
dedicate oneself to ~,~に専念する
to the best of one's knowledge,~の知る限り
drop out,脱落する;手を引く
expect ~ of ...,...に~を期待する
be independent of ~,~から独立している
get along [on] with ~,~の仕事がはかどる;~とうまくやっていく
on one's own,"独力で,自分の責任で;一人だけで"
in the face of ~,"~に直面して,~にもかかわらず"
check into ~,~に入る
consent to ~,~に同意する
on the spot,その場で
according to ~,~によれば;~に応じて
be anxious for ~,~を切望する
pass away,"行ってしまう,過ぎ去る;亡くなる"
owing to ~,"~が原因で,~のために"
be on the books,登録されている
recover from ~,"~から回復する,~を取り戻す"
place emphasis on ~,~を強調する
take ~ into account [consideration],"~を考慮する,斟酌する"
talk over ~,~を討議する
from now on,今後は
under way,進行中で
in no time,すぐに
little by little,"少しずつ,徐々に"
step by step,一歩一歩
get at ~,~に達する;~(真実など)を見つける;~を意味[意図]する
turn down ~,"~を拒絶する,はねつける;(ラジオなどの)音を下げる"
in the negative,否定的な
refrain from ~,"~をこらえる,止める,差し控える"
react to ~,~に反応する
agree to ~,~(提案や計画など)に同意する
at face value,文字通りに
make a point of ~ ing,必ず~することにしている
on purpose,故意に
for the sake of ~,~の(利益・目的の)ために
for fear of ~,~しないように
a man of few words,口数の少ない人
keep one's word [promise],約束を守る
long for ~,~を切望する
as is often the case with ~,~にはよくあることだが
leave out ~,~を落とす;~を省く
in return for ~,~のお返しに
keep on ...ing,...し続ける
be cut out for ~,~に向いている
inquire after ~,"~の安否を尋ねる,~を見舞う"
attend to ~,~に注意する;~に精を出す;~の世話をする
turn off ~,~を消す
set forth (~),~を述べる;出発する<文語>
take after ~,~に似ている
mistake ~ for ...,~を...と間違える
on occasion,時々
by all means,ぜひとも
bring ~ home to ...,...に~を痛感させる
get across ~,~をわからせる
word for [by] word,逐語的に
in a word,"要するに,一言で言えば"
be dying to do ...,...したくてたまらに
for a change (of air),気分を変えるために;たまには
make fun of ~,~をからかう
in the presence of ~,~の前で
be tired of ~,~に飽きる
live from hand to mouth,その日暮らしをする
keep in touch with ~,~と接触[文通;交際]を続ける
in private,"内々で,秘密に"
turn up,現れる
burst into ~,急に...し始める
participate in ~,"~に参加する,加わる"
come up with ~,~を思いつく;~に追いつく
one after another,次から次へと
name ~ A after B,Bにちなんで~にAと名付ける
catch on,流行する
turn out to ~,~することが判明する
fall on ~,~にあたる;~を襲う
make oneself at home,くつろぐ
help oneself to ~,~を自由に取って食べる[飲む]
bring up ~,~を育てる;~を話題に持ち出す
call for ~,~を必要とする;~を呼び求める
be sensitive to ~,~に敏感である
stay away from ~,~を欠席する;~に近づかない
get through with ~,~をやり遂げる
end up with ~,(結局は)~で終わる
be hard on ~,~につらく当たる
at first,最初は
have every [good] reason to ~,~するのも当然だ
hold one's tongue,黙る
die of ~,~で死ぬ
give in to ~,~に屈する
set about ~,~を始める;~に取り掛かる
correspond with ~,"~と文通する;~と一致する,~に調和する"
have [get] one's own way,自分の思い通りにする
resort to ~,~に訴える;~に頼る
on the contrary,それどころか
to the point,要領を得て
bound for ~,(列車などが)~行きの
by way of ~,"~経由で;~として,~のつもりで"
blame A for B,BのことでAを責める
scold A for B,BのことでAを叱る
hand [turn] in ~,~を提出する
equip A with B,AにBを備えつける
next to ~,~の隣の[に];~の次の[に];<否定的な意味の語とともに用いて>ほとんど~
hope [with] for ~,~を望む
keep company with ~,"~を交際する,仲良くする"
have faith in ~,~を信用する
keep ~ to oneself,~を人に話さ[与え]ないでおく
know better than to ~,~するほどばかではない
have (got) to ~,~しなければならない
take leave of ~,~にいとまごいをする
right away [now],すぐに
discourage O from ~ ing,Oが~するのを思いとどまらせる
run for ~,~に立候補する
sooner or later,遅かれ早かれ
come to light,明らかになる
make believe to ~,~するふりをする
in favor of ~,~に賛成して;~の利益となるように
seek for ~,"~を求める,~を捜す"
be suitable for ~,~にふさわしい
against one's will,意志に反して
How come~?,
stand up for ~,"~を支持する,擁護する"
be indefferent to ~,~に無関心である
for [with] all ~,~にもかかわらず
be eager for ~,~を熱望している
by far,"はるかに,大変"
second to none,右に出るものはいない
be curious about ~,~を知りたがる;~について詮索好きである
make oneself understood,~自身(の考え)を理解してもらう
be equivalent to ~,"~に相当する,等しい"
attribute A to B,AをBのせいにする
in detail,"詳しく,詳細に"
face to face,面と向かって
in effect,"事実上,実際は"
be at home in [with] ~,~に精通している
leave ~ behind,~を置き忘れる
order A from B,AをBに注文する
in a minute [second],すぐに
be grateful to A for B,BについてAに感謝する
put forth ~,~(芽や葉)を出す;~(案など)を出す
out of sight,見えないところに
all of a sudden,"突然,出し抜けに"
come true,"実現する,本当になる"
in the long run,結局
for the life of ~(人),どうしても（否定文で）
go bankrupt,破産する
by the way,ところで
lay off ~,~を一時解雇する;~をやめる
for a rainy day,まさかの時に備えて
in honor of ~,"~のために,~に敬意を表して"
congratulate A on B,BのことでAを祝う
see nothing of ~,~をまったく見かけない
become of ~,~はどうなるのだろうか
There is something ~ about …,…にはどこか~なところがある
beyond [above] words,言葉では言い表せない
apologize to A for B,BのことでAに謝る
send for ~,"~を呼びに人を派遣する,~に来るように頼む"
forgive A for B,Bに対してAを許す
wam A of B,BをAに警告する
on the ground(s) that …,…という理由で
keep to ~,"~に従う,~を守る"
have had enough of ~,~はもうたくさんである
eat up ~,~を食べつくす
gain [put up] weight,体重が増える
for sure [certain],確かに
be envious of ~,"~をうらやむ,ねたむ"
speak out [up],思い切って意見を言う;大声で話す
in public,"公然と,人前で"
once and for all,きっぱりと
make sense (of~),意味を成す;道理にかなう;~を理解する
ring [call] up ~,~に電話をかける
hold on,持ちこたえる;(電話を)切らないでおく
hang up,電話を切る
something of ~,ちょっとした~
behind the times,時流に遅れて
adjust oneself to ~,~に適応[順応]する、~に慣れる
before long,まもなく
up to ~,~次第で;~の責任で;~をたくらんで;~に達して
be confident of ~,~を確信している
help A with B,AのBを手伝う
in earnest,"本気で,真剣に"
arrange for ~,~を手配する
in one's place,~の代わりに
be particular about ~,~について好みがうるさい
try on ~,~を着てみる
keep away from ~,~から離れている、~に近づかない
get rid of ~,~を取り除く;~から免れる
blow up,爆発する;(嵐などが)起こる
on the go,(つねに忙しく)活動中で
make for ~,~に役立つ[寄与する];~へ向かって行く
bring oneself to ~,...する気になる
count on ~,~に頼る;~次第である
let ~ down,~をがっかりさせる;~を降ろす
tell off ~,~をしかる;~を割り当てる
run into [across] ~,~に偶然出会う
remember A to B,Bに(Aのことを)よろしくと伝える
take turns in ~ing,交代で~する
put away ~,~を片付ける
in the way,邪魔になって
take on ~,~を引き受ける;~を帯びる
regardless of ~,~に関係なく
between ourselves,内緒にして
keep early hours,早寝早起きする
take it easy,"ゆっくりやる,休養を取る"
lose one's temper,腹を立てる
be occupied with ~,~で忙しい；~に従事している
ask a favor of ~,~にお願いする[頼む]
sit [stay] up (late),夜更かしをする
in succession,"連続して,次々に"
wear out ~,~を疲れさせる
out of control,制御できなくて
in the meantime,その間に、とかくするうちに
at the cost [price] of ~,~を犠牲にして
put ~ into practice,~を実行する
break into ~,~に侵入する[押し入る];急に...し始める
have ~ to oneself,~を独占する
on fire,燃えている
come near [close] (to) ~ing,今にも~しそうである
burn down,"全焼する,燃え尽きる"
settle down,"落ち着く,固まる,静まる"
be jealous of ~,~をねたむ
hand in hand,手を取り合って
on board,(船・飛行機などに)搭乗して
take off (~),離陸する;~を脱ぐ;~を取り去る;休暇で~(休み)を取る
in the light of ~,"~を考慮して,考慮すると"
lose no time (in) ~ing,すぐに～する
sell out,売り切れる
not more than ~,せいぜい～
object to ~,~に反対する
stand by ~,"~に味方する,~を支持する;~のそばに立つ"
rely on ~,~に頼る
show up,現れる
on duty,"勤務時間中で,当直で"
take ~ by surprise,(不意をついて)~を驚かせる
show ~ around …,~に…を案内する
take up ~,~(仕事・趣味など)を始める;~(場所)を占める;~を吸収する;~を取り上げる
make out ~,~を理解する
none of one's business,余計なお世話
think over ~,~についてよく考える
pass on A to B,AをBに伝える
on one's guard,用心して
address oneself to ~,~に話しかける;精力を傾ける
in the air,"(うわさなどが)広まって,空中に"
be certain [sure] of ~,~を確信している
accuse A of B,BのことでAを非難する
out of date,時代[流行]遅れの
keep good time,(時計が)正確である
out of order,故障して；順序がくるって
get the better of ~,~に勝つ
yield to ~,~に屈服する
look up to ~,"~を尊敬する,敬う"
be considerate of ~,~に思いやりのある
put an end to ~,~を終わらせる
be free to ~,自由に[きままに]~する
indulge in ~,"~にふける,~に凝る"
for nothing,無料で;無駄に
in exchange [for] of ~,~と引き換えに；~の代わりに
succeed to ~,"~を相続する,継承する"
get over ~,"~を乗り越える,~から立ち直る"
at any cost,ぜひ；どんな犠牲を払っても
turn a deaf ear to ~,~に耳をかさない
allow for ~,"~を考慮に入れる,斟酌する"
be ashamed of ~,~を恥じている
leave nothing to be desired,全く申し分ない
brush up ~,~(外国語など)をやり直す；~に磨きをかける
leave (~) for ~,(~を出て)~へ(向けて)出発する
in haste,急いで
catch up with ~,~に追いつく
dispose of ~,"~を処理する,~を処分する"
at first hand,直接
drop ~ a line,~に一筆書き送る
to the effect that ~,~という主旨で
call off ~,~を中止する
be about to ~,(まさに)~しようとしている
take [catch/get] hold of ~,~をつかむ；~を把握する
keep an eye on ~,"~から目を離さない,~を注意してみる"
cure A of B,AのBを治す
relieve A of B,AからBを取り除く
at least,少なくとも
see ~ free,~を解法する、~を放免する
in harmony with ~,~と仲良く;~と一致して
pull [make] a face [faces],いやな顔をする、しかめっ面をする
in one's company,~と一緒にいる[と]
have an eye for ~,~を見る目がある
go through with ~,~やり遂げる
by halves,"中途半端に,不完全に"
on one's part,~の方では
ascribe A to B,AをBのせいにする
as good as ~,ほとんど~も同然
be possessed of ~,~を所有している
be disappointed at [with/in] ~,~に失望している