vital,非常に重要な・生命の
survey,を調査する
inquire,尋ねる・調査する
inquiry,質問・調査
theory,理論
theoretical,理論上の
theoretically,理論上は
method,方法
hypothesis,仮説
experiment,実験
experimental,実験的な
detect,を検出する
detective,探偵・刑事
thesis,学位論文
statistics,統計
statistical,統計上の
analyze,を分析する
analysis,分析
laboratory,研究室
conclude,結論を下す
conclusion,結論
prove,を証明する
prrof,
demonstrate,を実証する
illustrate,を例証する
illustration,例証
estimate,を見積もる
underestimate,を過小評価する
expert,専門家
expertise,専門知識
scholar,学者
scholarship,奨学金
scholastic,学術的な
academic,学問の
specialize,専攻する
geography,地理学
geographic,地理的な
geology,地質学
geological,地質学的な
geometry,幾何学
arithmetic,算数
astronomy,天文学
astrology,占星術
botany,植物学
anthropology,人類学
discuss A,Aを議論する
discussion,議論
agree,賛成する・同意する・一致する
agreeable,感じのいい
agreement,賛成・同意・一致
disagree,意見が合わない
disagreement,意見の相違
argue,を主張する
argument,主張・言い争い
maintain,を維持する・を主張する
maintenance,維持・主張
assert,を主張する
assertion,主張
claim,を要求する・主張する
insist,を主張する
insistent,主張する
insistence,主張
exclaim,と叫ぶ
proclaim,を宣言する
declare,を宣言する
declaration,宣言
announce,を告知する
announcement,告知
exaggerate,を誇張する
exaggeration,誇張
boast,自慢する
controversy,論争
controversial,論争中の
dispute,議論・を議論する
debate,討論
conference,会議
negotiate,交渉する
negotiation,交渉
complain to A about B,AにBについて不満を言う
complaint,不満
grumble,不満を言う
quarrel,口論する
reconcile,和解する・を和解させる
convince,AにBを確信させる
conviction,確信・有罪判決
convincing,説得力のある
persuade A to do [into doing],Aを説得して～させる
persuasion,説得
persuasive,説得力のある
dissuade A from doing,Aにしないように説得する
talk ～ into doing,に説得する
advantage,有利な点
take advantage of,を利用する
disadvantage,不利な点
advantageous,好都合な
privilege,特権
entitle,に権利を与える
qualify,に資格を与える
qualification,資格
require,を必要とする
requirement,要求されるもの
request,要求
call for,を必要とする・迎えに行く
desire,願望
desirable,望ましい
demand,を要求する
demanding,要求の多い
call on,を訪問する要求する
agree with A,(意見・人)に賛成する
agree to A,（提案）に同意する
insist on A's doing,Aが～するべきだと主張する
boast of A,Aを自慢する
negotiate with A,Aと交渉する
complain to A about B,AにBについて不満を述べる
reconcile with A,Aと仲直りする
be entitled to A,Aの権利がある
be qualified for A,Aの資格がある
be required to do,～するよう要求される
have a desire for A,Aが欲しいと強く思う
perspective,ものの見方
inspect,を詳しく調べる
inspection,調査
prospect,見通し
prospective,見込みのある
retrospect,追想
suspect,を疑う・容疑者
suspicious,疑わしい
suspicion,疑惑
speculate,推測する
speculation,推測・投機
spectacle,光景・眼鏡
spectacular,目を見張るような
conspicuous,目立つ
proceed,進む・さらに続けて～する
process,過程・を処理する
procession,行進
procedure,手順・手続き
exceed,を超える
concede,を譲歩する
concession,譲歩
succeed,成功する・のあとを継ぐ
success,成功
successful,成功した
succession,継続
successive,連続する
succcesor,後継者
predict,を予測する
prediction,予測
predictable,予測できる
indicate,を指し示す
indication,指示
indicative,指示する・暗示する
dictate,を書き取らせる・命令する
dictation,命令・書き取り
dictator,独裁者
dedicate A to B,AをBに捧げる
dedication,献身
admit,を認める
admission,入学・入場料
commit,を犯す・ゆだねる
commitment,犯行・関与・約束
committee,委員会
commission,委員会・委任
omit,を省く
omission,省略
intermit,を中断する
intermission,休止
dismiss,を解雇する・退ける
dismissal,解雇
transmit A to B,を伝える
transmission,伝達
mission,使命
transfer,を移動する・転勤する
transport,を輸送する・輸送
transportation,輸送・交通手段
transform A into B,AをBに変える
transformation,変形
translate,を翻訳する
translation,翻訳
transplant A to B,AをBに移植する
transparent,透明な
transition,過渡期
transit,乗り継ぎ
distribute A to B,を分配する
distribution,分配
contribute,貢献する
contribution,貢献
attribute,の原因を帰す・特質
attribution,帰因
assure A of B,AにBを保証する
assurance,保証
reassure A of B,Bに関してAを安心させる
reassurance,安心
influence,影響・に影響を及ぼす
influential,影響のある
impact,影響
affect,に影響・効果を及ぼす
effect,効果・影響
effective,効果的な
affection,愛情
affectionate,愛情を持った
affectation,気取り
dominate,を支配する
dominant,支配的な
predominant,支配的な
rule,を支配する・規則
regulate,を規制する
regulation,規制
control,を支配する・抑制
bind,を縛る
be bound to do,決まって～する
authority,権威・権力・当局
authorize,に権限を与える
author,著者
exert,を行使する・働かせる
exertion,行使
exercise,練習・運動・を行使する
obey A,Aに従う
obedient,従順な
resist,に抵抗する
resistance,抵抗
resistant,抵抗する
irresistible,抵抗しがたい
protest,抗議する
rebel against A,Aに対して反逆する
rebellion,反乱
conquer,を征服する
conquest,征服
defeat,を打ち負かす・敗北
beat,を打ち負かす
surrender,降伏する
yield,屈する・を産出する・収穫量
depend on A for B,Bに関してAに頼る
be dependent on A,Aに依存している
dependence,依存
be independent of A,Aから独立している
independence,独立
rely on A,Aを頼る・あてにする
reliable,信頼できる
reliance,依存
count on,をあてにする
trust,を信用する
trustworthy,信頼できる
compete with[against] A,Aと競争する
competition,競争
competitive,競争の
competence,能力
competent,有能な
press,を押す・強く求める・報道
pressure,圧力
pressing,差し迫った
impress A as C,AにCという印象を与える
impression,印象
impressive,印象的な
express,を表現する
expression,表現
expressive,表現豊かな
oppress,を抑圧する
oppression,抑圧
oppressive,重苦しい
suppress,を抑える
threat to A,Aに対する脅威
threaten,を脅かす
menace to A,Aに対する脅威
tame,を飼い慣らす・飼い慣らされた
be superior to A,Aより優れている
superiority,優越
perceive,を知覚する・認識する
perception,知覚・認識
perceptive,知覚の
perceptible,知覚できる
conceive,を考え出す
conceivable,考えられる
concept,概念
conception,概念
deceive,をだます
deception,騙すこと
deceptive,人を騙すような
deceitful,人を騙すような
sense,感覚・判断力・意味
make a sense,意味が分かる
come to one's senses,正気を取り戻す
sensitive,敏感な
sensitivity,感受性
sensible,賢明な
sensibillity,感受性
sensation,感覚・物議
visual,視覚の
vision,像・視力・見通し
visible,目に見える
invisible,目に見えない
revise,を改訂する
revision,改訂
devise,を考案する
device,装置
sight,視覚・光景
stare,見つめる
gaze,見つめる
glance,ちらりと見る
glimpse,をちらりと見る
audible,聞こえる
audience,聴衆
scent,香り
odor,匂い
flavor,味
arouse,を呼び起こす
evoke,を引き起こす
provoke,を引き起こす
stimulate,を刺激する
stimulus,刺激
instinct,本能
instinctive,本能的な
impulse,衝動
impulsive,衝動的な
embarrass,に恥ずかしい思いをさせる
embarrassment,恥ずかしい思い
shame,恥・残念なこと
be ashamed of A,Aを恥じる
shameful,恥ずべき
nerve,神経
nervous,緊張している
emotion,感情
emotional,感情的な
passion,情熱
passionate,情熱的な
compassion,同情
passive,受動的な
temper,機嫌
temperament,気質
delight,喜び
delightful,楽しい
rejoice,喜ぶ
gratify,を喜ばせる
anger,怒り
rage,怒り・猛威を振るう
outraged,激怒した
all the rage,大流行している
fury,怒り
furious,激怒した
indignant,激怒した
indignation,激怒
virtue,美徳・長所
virtual,仮想の・事実上の
virtually,ほとんど
vice,悪・副～
vicious,悪性の
evil,邪悪な
sin,罪
sinful,邪悪な
crime,犯罪
criminal,犯罪者・犯罪の
ethics,倫理
ethical,倫理上の
moral,道徳上の・道徳
immoral,道徳に反する
morality,道徳
confess,告白する・認める
confession,告白
punish,を罰する
punishment,罰
penalty,刑罰
murder,殺人・を殺害する
victim,犠牲者・被害者
offend,を怒らせる
offense,犯罪・侮辱
offensive,不快な
defend,を防御する
defense,防御
defendant,被告
motive,動機
motivate,に動機を与える
motivation,動機付け
witness,目撃者・を目撃する
arrest,を逮捕する
detain,を拘留する
accuse,を非難する
accusation,非難
blame,を非難する・のせいにする
be to blame,責めを負うべき
condemn,を責める・に刑を宣告する
condemnation,非難・有罪判決
court,裁判所
courtesy,礼儀
courteous,礼儀正しい
trial,試行・裁判
justice,正義・裁判
justify,を正当化する
justification,正当化
judge,を判断する・裁判官
judgment,判断
jury,陪審員
testify,証言する
testimony,証言
guilty,有罪の
guilt,有罪
innocent,無罪の・無邪気な
innocence,無罪・無邪気さ
sentence,文・判決・に判決を下す
prison,刑務所
imprison,を投獄する
prisoner,囚人
deter,を抑止する
deterrent,抑止するもの
violence,暴力
violent,暴力的な・激しい
aggressive,攻撃的な
aggression,攻撃
legal,合法の
illegal,違法の
violate,に違反する
violation,違反
condemn A to B,AにBを宣告する
blame A on B,AをBのせいにする
indignant,激怒した
indignation,激怒
unite,を結びつける
unity,結束
uniform,均一の・制服
uniformity,均一性
universe,宇宙
universal,普遍的な
union,組合
reunion,同窓会
sole,唯一の
solely,単に
solitude,孤独
solitary,孤独な
console,を慰める
consolation,慰め
monotonous,単調な
monotony,単調さ
monopoly,独占
combine,を結びつける
combination,組み合わせ
dual,二重の
duplicate,を複製する
numerous,無数の
innumerous,無数の
infinite,無限の
infinity,無限
quantity,量
quality,質
volume,容積・１巻
voluminous,多量の
amount,量・達する
sum,を合計する・要約する・合計
summarize,を要約する
summary,要約
total,合計の・完全な
totally,完全に
vast,莫大な
huge,巨大な
enormous,莫大な
immense,巨大な
abundant,豊富な
abundance,豊富さ
abound,豊富にある
ample,十分な
amplify,を増幅する・詳述する
affluent,裕福な
affluence,富
sufficient,十分な
insufficient,不十分な
adequate,十分な・適切な
adequacy,妥当性
inadequate,不適切な
major,主要な・専攻する
majority,大多数
minor,重要でない
minority,少数
maximum,最大
maximize,を最大にする
minimum,最小
minimize,を最小にする
magnificent,壮大な
majesty,威厳
diminish,を減らす・減る
utmost,最大の
increase,を増やす・増える
increasingly,だんだんと
decrease,を減らす・減る
reduce,を減らす
reduction,削減
accumulate,を蓄積する
accumulation,蓄積
add,を加える
addition,追加
additional,追加の
rational,合理的な・理性的な
rationale,理論的根拠
rationalism,合理主義
irrational,非合理的な
reason,理由・理性・論理的に考える
reasonable,理性的な・手頃な
beast,獣
brute,獣
brutal,野蛮な
notion,概念
abstract,抽象的な
concrete,具体的な
stereotype,固定観念
prejudice,偏見
bias,偏見
view,眺め・意見・をみなす
review,を見直す・復習・批評
viewpoint,観点
standpoint,立場
outlook,見解・見通し
optimistic,楽観的な
optimism,楽観主義
pessimistic,悲観的な
pessimism,悲観主義
aware,気づいている
awareness,意識
alert,警戒している
conscious,意識している
consciousness,意識
unconscious,無意識の
subconscious,潜在意識の
conscience,良心
recognize,を識別する・認める
recognition,認識
cognition,認識
knowledge,知識
acknowledge,を認める
acknowledgement,承認
identify,の身元を特定する・同一視する
identity,アイデンティティ
identical,同一の
intellect,知性
intellectual,知性の
intelligence,知性
intelligent,知性的な
intelligible,理解可能な
wisdom,知恵
bright,明るい・頭のいい
brilliant,輝かしい・頭のいい
smart,利口な
wit,機転
witty,気の利いた
insight,洞察力
philosophy,哲学
philosopher,哲学者
comprehend,を理解する・含む
comprehension,理解・包含
comprehensible,理解可能な
incomprehensible,理解不可能な
comprehensive,包括的な
consider A [ (to be) C],を考慮する・みなす
considerable,かなりの
considerate,思いやりのある
consideration,考慮・思いやり
considering,を考慮すれば
contemplate,を熟考する
contemplation,熟考
meditate,瞑想する
meditation,瞑想
recollect,を思い出す
recollection,思い出
recall,を思い出す
inform,に知らせる
information,情報
infant,幼児
infancy,幼児期
adolescent,思春期の・十代の若者
adolescence,思春期
juvenile,少年少女の
adult,大人
grownup,大人
elderly,年配の
mature,成熟した・成熟する
maturity,成熟
immature,未熟な
premature,時期尚早の
pregnant,妊娠している
pregnancy,妊娠
maternity,母性
maternal,母親の
birthrate,出生率
abortion,妊娠中絶
divorce,離婚
celebrate,を祝う
celebration,祝賀
career,キャリア
background,背景・経歴
status,社会的地位
resign,を辞職する・断念する
resignation,辞職・あきらめ
retire,退職する
retirement,退職
quit,をやめる
farewell,お別れ
pension,年金
funeral,葬式
tomb,墓
bury,を埋める・埋葬する
mortal,死ぬ運命にある
mortality,死ぬ運命・死亡率
immortal,不死の
inherit,を相続する
inheritance,相続・遺産
heritage,遺産
legacy,遺産
offspring,子孫
inevitable,避けられない
inevitably,必然的に
fate,運命
fatal,致命的な・決定的な
individual,個人・個人の
individualism,個人主義
personal,個人的な
in person,直接本人が
personality,個性
impersonal,人間味のない
private,個人的な
privacy,プライバシー
self,自己
selfish,自分勝手な
fellow,人・仲間
male,男性の
female,女性の
masculine,男らしい
feminine,女らしい
gender,ジェンダー
celebrated,著名な
consideration,考慮・思いやり
considering,を考慮すれば
contemplate,を熟考する
contemplation,熟考
meditate,瞑想する
meditation,瞑想
recollect,を思い出す
recollection,思い出
recall,を思い出す
inform,に知らせる
information,情報
society,社会
social,社会の
sociable,社交的な
socialize,親睦を深める
community,共同体
communicate,意思の疎通をする・を伝える
communication,意思の疎通・通信
acquainted,知り合いである
acquaintance,知人・知識
intimate,親密な
intimacy,親密さ
hostile,敵意のある
hostility,敵意・戦争行為
hospitality,もてなし
sympathy,同情
sympathize,に同情する
sympathetic,同情的な
pity,あわれみ・残念なこと
mercy,慈悲
at the mercy of,のなすがままに
envy,をうらやむ
envious,うらやましく思う
jealous,嫉妬した
jealousy,嫉妬
comtempt,軽蔑
contemptuous,軽蔑している
scorn,を軽蔑する
scornful,軽蔑している
despise,軽蔑する
look down on,を見下す
disgust,嫌悪・をむかつかせる
disgusting,不快な
hatred,憎悪
insult,を侮辱する
humiliate,に恥をかかせる
curse,呪い
endure,に耐える
endurance,耐久
durable,耐久性のある
duration,持続・期間
put up with,我慢する
compromise,妥協・妥協する
praise,をほめる
award,賞・に賞を与える
reward,報酬・に報いる
compliment,お世辞・にお世辞を言う
flatter,をおだてる
flattery,お世辞
spoil,を甘やかす・台無しにする
congratulate,お祝いを述べる
congratulation,祝賀
grateful,感謝している
appreciate,を正しく評価する・を感謝する・を鑑賞する
appreciation,評価・感謝・鑑賞
gratitude,感謝
admire,を賞賛する
admiration,賞賛
admirable,賞賛に値する
esteem,を尊敬する・尊敬
adore,を敬愛する
dignity,威厳
dignify,威厳を持たせる
cooperate,協力する
cooperation,協力
cooperative,協力的な
loyal,忠実な
loyalty,忠誠
betray,を裏切る・暴露する
betrayal,裏切り・暴露
make fun of,をからかう
tease,をいじめる
bully,をいじめる・いじめっ子
bother,を悩ます
nuisance,迷惑な行為
value,価値・価値観・を重んじる
valuable,価値のある
invaluable,計り知れない
be worth A(ing),Aの(する)価値がある
be worthy of A(being pp),Aの価値がある
it is worthwhile ing(to do),～する価値のある
deserve A(ing),Aに値する
cherish,を大事にする
treasure,を大事にする
evaluate,を評価する
evaluation,評価
measure,を測定する・基準・手段・程度
assess,を査定する
assessment,査定
standard,水準
norm,規範
normal,普通の
abnormal,異常な
criterion,基準
test,テスト・判断基準
class,クラス
classify,を分類する
classification,分類
sort,種類・を分類する
alter,を変える
alteration,変更
alternate,交互の
alternative,選択肢・代わりの
option,選択肢
adopt,を採用する・を養子にする
adoption,採用・養子縁組
decide,を決定する
decision,決定
decisive,決定的な
determine,を決定する
determined,決意している
determination,決定
resolve,を決意する・を解決する
resolution,決意・解決
event,出来事
incident,出来事
incidental,付随する
accident,事故・偶然
accidentally,偶然に
affair,出来事
occur,起こる
occurrence,出来事
take place,起こる
situation,状況
condition,状況・条件・を条件づける
circumstance,状況・環境
partcipate in,参加する
take part in,参加する
involve,を含む・関与させる・伴う
involvement,関与
entail,を伴う
engage,を従事させる・従事する
engagement,約束・関与
indulge,甘やかす・没頭する
indulgence,道楽
devote A to B,AをBに捧げる
devotion,献身
act,行動する・行動・法令
action,行動
active,活動的な
activity,活動
enact,を制定する
behave,行動する・ふるまう
behavior,行動・ふるまい
conduct,を行う
attitude toward A,Aに対する態度・考え方
act on,に作用する・従って行動する
take measures,手段を講じる
in large measure,かなりの程度まで
politics,政治
political,政治の
principle,原理・信条
conserve,を保存する
conservative,保守的な
conservation,保存
progress,進歩
progressive,進歩的な
redical,根本的な・急進的な
reform,改革
regime,政治体制
democracy,民主主義
democratic,民主主義的な
Democrat,民主党員
republic,共和国
Republican,共和党員
monarchy,君主政治
monarch,君主
aristocracy,貴族社会
aristocratic,貴族の
aristcrat,貴族
bureaucracy,官僚主義
bureaucratic,官僚的な
bureaucrat,官僚
ideology,イデオロギー
communism,共産主義
communist,共産主義者
socialism,社会主義
socialist,社会主義者
anarchism,無政府主義
anarchist,無政府主義者
nationalism,国家主義
nationalist,国家主義者
patriotism,愛国主義
patriotic,愛国的な
patriot,愛国主義者
govern,を統治する・を決定する
government,政府
reign,統治・君臨する
tranny,専制政治
tyrant,暴君・専制君主
administer,を運営する
administration,行政・運営
policy,政策・方針
welfare,福祉・幸福
ministry,省庁
minister,大臣・牧師
diplomat,外交官
diplomatic,外交の
diplomacy,外交
embassy,大使館
ambassador,大使
treaty,条約
legislate,法律を制定する
legislature,議会
legislation,立法
legislative,立法の
congress,議会・会議
Senate,上院
Senator,上院議員
parliament,国会
Diet,国会
federal,連邦の
bill,請求書・紙幣・法案
abolish,を廃止する
abolition,廃止
elect A [as] C,を選出する
election,選挙
vote,投票する
poll,投票・世論調査
run for,に出馬する
mayor,市長
governor,知事
in large measure,かなりの程度まで
industry,産業・勤勉
industrial,産業の
industrious,勤勉な
agriculture,農業
agricultural,農業の
cultivate,を耕す・磨く
cultivated,教養のある
culture,文化・教養・栽培
cultural,文化の
crop,作物
harvest,収穫
soil,土壌
fertile,肥沃な
fertility,肥沃・多産
fertilizer,肥料
barren,不毛な
irrigation,灌漑
grain,穀物
wheat,小麦
weed,雑草
seed,種
sow,をまく
plow,鍬・を耕す
peasant,小作農
feed,に餌・食物を与える
be fed up with,にうんざりする
breed,を繁殖させる・品種
livestock,家畜
cattle,牛
herd,群れ
flock,群れ
ranch,牧場
media,媒体
mass,集団・多数
massive,大量の
broadcast,を放送する
journalism,ジャーナリズム
journalist,新聞記者
article,記事・品物・冠詞
headline,見出し
Internet,インターネット
advertisement,広告
advertise,を宣伝する
publish,を出版する
publication,出版
edit,を編集する
editor,編集者
edition,版
compile,を編集する
manufacture,製造・を製造する
manufacturer,製造会社
produce,を生産する
production,生産
product,製品
productive,生産的な
productivity,生産性
reproduction,複製・生殖
create,を創造する
creation,創造
creative,創造的な
creativity,創造性
creature,生き物
consume,を消費する
consumer,消費者
consumption,消費
trade,貿易・商売・職業
deal,取引・量
deal with,に対処する・を扱う
commerce,通商
commercial,商業的な
merchant,商人
merchandise,商品
commodity,商品
retail,小売りの
medicine,薬・医学
medical,医学の
medication,薬剤
pharmacy,薬局
surgery,外科手術
surgical,外科の
surgeon,外科医
vein,血管・静脈
artery,動脈
physical,身体の・物理的な
physics,物理学
physician,内科医
physicist,物理学者
disease,病気
symptom,兆候
ache,痛む
sore,痛い
dizzy,めまいがする
cough,咳をする
fever,熱
paralyze,を麻痺させる
patient,患者・我慢強い
patience,忍耐
impatient,我慢できない
ambulance,救急車
diagnose,を診断する
diagnosis,診断
cure A of B,AのBを治す
heal,を治す
treat,を扱う・を治療する・におごる
treatment,取り扱い・治療
recover,回復する・を取り戻す
recovery,回復
operate,作動・作用する・手術する・を操作する
operation,操作・働き・手術
remedy,治療法
cancer,癌
tumor,腫瘍
diabetes,糖尿病
virus,ウィルス
germ,ばい菌
infect,に感染させる
infection,感染
epidemic,伝染病・蔓延している
plague,疫病・を絶えず苦しめる
vaccine,ワクチン
immune,免疫のある
immunity,免疫
allergy,アレルギー
allergic,アレルギーの
gene,遺伝子
genetic,遺伝子の
cell,細胞
organism,有機体
organ,臓器
organic,有機性の
biotechnology,バイオテクノロジー
clone,クローン・のクローンを作る
anatomy,解剖学
chemistry,化学
chemical,化学の・化学物質
toxic,有毒な
solid,固体の
liquid,液体の
vapor,蒸気・気体
evaporate,蒸発する・消滅する
hydrogen,水素
oxygen,酸素
atom,原子
atomic,原子の
nuclear,原子力の
molecule,分子
radiation,放射能
radioactive,放射性の
religion,宗教
religious,宗教の
faith,信頼・信仰
faithful,忠実な・信用できる
worship,を崇拝する
doctrine,教義
confidence,信頼・自信
confident,確信している
confidential,極秘の
confide,信頼する・打ち明ける
credit,信用・称賛
incredible,信じられない
creed,信条
Buddhism,仏教
Muslim,イスラム教徒
Christianity,キリスト教
Catholic,カトリック教徒
Protestant,新教徒
priest,司祭
clergy,聖職者
clergyman,聖職者
preach,を説く
pilgrim,巡礼者
divine,神の
divinity,神性
sacred,神聖な
sacrifice,を犠牲にする・犠牲
saint,聖人
holy,神聖な
shrine,神社
temple,寺院
ritual,儀式
ceremony,儀式
swear,を誓う
bless,を祝福する
persecute,を迫害する
persecution,迫害
heretic,異教徒
convert,を転換する
conversion,転換
enchant,を魅了する
witch,魔女
spell,呪文
haunt,に出没する
race,人種・競争
racial,人種の
racism,人種差別主義
discriminate,差別する
discrimination,差別
tribe,部族
tribal,部族の
ethnic,民族的な
nationality,国籍
native,出生地の
tradition,伝統
traditional,伝統的な
custom,慣習
customary,慣習の
accustomed,慣れている
convention,慣習・大会
conventional,伝統的な
hierarchy,階級制
hierarchical,階級の
folk,民族
folklore,民間伝承
myth,神話
mythical,神話の
legend,伝説
legendary,伝説の
tragedy,悲劇
tragic,悲劇の
gospel,福音
radiation,放射能
radioactive,放射性の
environment,環境
environmental,環境の
environmentalism,環境保護主義
species,種
evolve,進化する・を進化させる
evolution,進化
evolutionary,進化の
ecology,生態系
ecological,生態の
nature,自然・性質
natural,自然の・生まれつきの
naturally,当然・生まれつき
by nature,生まれつき
inherent,本来備わっている
artificial,人工の
preserve,保存する
preservation,保存
develop,を発達させる・発症する
development,発達・開発
sustain,を維持する
sustainable,持続可能な
atmosphere,大気・雰囲気
atmospheric,大気の
pollute,を汚染する
pollution,汚染
waste,廃棄・を浪費する
garbage,ゴミ
trash,ゴミ
rubbish,ゴミ
litter,ゴミ
landscape,風景
resource,資源
fossil,化石
fuel,燃料・を煽る
exhaust,を使い果たす・疲れさせる
exhaustion,使い果たすこと
petroleum,石油
global warming,地球温暖化
greenhouse effect,温室効果
carbon dioxide,二酸化炭素
tropical rain forest,熱帯雨林
acid rain,酸性雨
ozone layer,オゾン層
climate,気候
temperature,温度
humid,湿った
humidity,湿度
moist,湿った
moisture,湿度
phenomenon,現象
drought,干ばつ
disaster,災害
disastrous,悲惨な
hemisphere,半球
sphere,球・領域
continent,大陸
continental,大陸の
Arctic,北極地方の
Antarctic,南極地方の
pole,極
polar,極の
polarization,両極化
latitude,緯度
longitude,経度
altitude,高度
equator,赤道
subcontinent,亜大陸
legend,伝説
legendary,伝説の
tragedy,悲劇
tragic,悲劇の
gospel,福音
radiation,放射能
radioactive,放射性の
nod,うなずく
bow,おじぎする
sigh,ため息をつく
rub,をこする
yell,叫ぶ
leap,跳ぶ
fix,を固定する・を修理する
pour,を注ぐ
dip,を浸す
soak,をびしょ濡れにする
cast,を投げる
shed,を流す
spur,に拍車をかける
blur,をぼやけさせる
cite,を引用する
recite,を暗唱する
recital,独奏会
rear,を育てる・後部
bet,を賭ける・きっと～だと思う
sue,を告訴する
dread,を恐れる
dreadful,恐ろしい
vow,を誓う
chill,に寒気を感じさせる
staff,職員
stuff,もの・を詰め込む
crash,衝突する
crush,を潰す
flesh,肉
glow,輝く
load,積む
pray,祈る
prey,獲物
fall prey to A,Aの犠牲になる
flee,逃げる
dose,服用量
role,役割
roll,を巻く・転がる
awe,畏怖・を畏怖させる
awful,恐ろしい・ひどい
awesome,すごい
feat,偉業
deed,行為
clue,手掛かり
path,小道
ray,光線
lump,かたまり
bulk,容積
pile,山
heap,山
mess,乱雑
messy,散らかった
fuss,大騒ぎ
mere,単なる
merely,ただ単に
dull,退屈な・頭の鈍い
ripe,熟した
bare,裸の・最低限の
barely,かろうじて
raw,生の
net,正味の
gross,総計の
dim,薄暗い
deaf,耳が聞こえない
dumb,口がきけない・馬鹿な
sake,ため
for the sake of A,Aのために
for A's sake,Aのために
vain,無駄な
in vain,無駄に
dawn,夜明け・はじまり
dawn on,に分かり始める
tickle,くすぐる
radioactive,放射性の
tend to do,～する傾向がある
tendency,傾向
trend,風潮
be apt to do,～しがちである
aptitude,適性
be liable to do,～しがちである
be prone to do,～しがちである
susceptible,影響を受けやすい
be likely to do,～しそうである
be unlikely to do,しそうにない
probable,～じゅうぶんありえる
probably,たぶん
probability,可能性
improbable,ありそうもない
possibly,ことによると・いったい・絶対に
be about to do,今にも～しようとしている
on the verge of,今にも～しそうである
on the blink of,今にも～しそうである
be eager to do,～することを熱望している
eagerness,熱望
be willing to do,～することをいとわない
willingly,快く
be unwilling to do,～する気が進まない
be reluctant to do,～する気が進まない
reluctance,気が進まないこと
be enthusiastic about A,Aに対して熱意のある
enthusiasm,熱意
keen,熱心な・鋭い
keenly,痛切に
be intent on A,Aに熱中している
earnest,まじめな
aspire to do,～することを熱望する
aspiration,熱望
yearn to do,～することを熱望する
long for,を待ち望む
tempt,誘惑する
temptation,誘惑
fascinate,を魅了する
fascination,魅力
appeal,魅力・人気・訴える
charm,魅力
respond,反応する
response,反応
react,反応する
reaction,反応
interact with A,Aと交流する
interaction,交流
adjust,順応する・適合させる
adjustment,順応
adapt,順応する・適合させる
adaptation,順応
fit,に合う・体調が良い
fitness,順応・健康
suit,に似合う・合う
suitable,適した
match,と合う・匹敵する
go with,と合う
be not about to do,～するつもりが全くない
adaptive,順応できる
be keen on A,Aに熱心である
net,正味の
gross,総計の
dim,薄暗い
deaf,耳が聞こえない
dumb,口がきけない・馬鹿な
sake,ため
for the sake of A,Aのために
for A's sake,Aのために
vain,無駄な
in vain,無駄に
dawn,夜明け・はじまり
dawn on,に分かり始める
tickle,くすぐる
radioactive,放射性の
diet,食事
obese,肥満の
obesity,肥満
weight,重さ
weigh,重さがある
outweigh,〜より重要である
nutrition,栄養
nutrient,栄養素
nutritious,栄養のある
nourish,〜に栄養を与える
nourishment,栄養
nurture,〜を養育する
foster,〜を養育する
feast,ごちそう
appetite,食欲
starve,飢える
starvation,飢餓
hunger,空腹
thirst,喉の渇き
greed,貪欲
greedy,貪欲な
famine,飢饉
ingredient,食材
digest,〜を消化する
digestion,消化
