vital,非常に重要な・生命の
beverage,飲料
inhabit,〜に住んでいる
inhabitant,住民
habitat,生息地
dwell,住む
dwell on,〜にこだわる
residence,住居
residential,住民の
resident,住民
reside,住む
accommodate,〜を宿泊させる
accommodation,宿泊施設
refuge,避難
refugee,避難民
shelter,避難所
clothes,衣服
clothing,衣服
fabric,布地
thread,糸
weave,〜を織る
wear,〜を着ている
disguise,〜を変装させる
naked,裸の
fashion,流行/方法
household,家庭の
domestic,家庭内の/国内の
domesticate,〜を飼いならす
routine,日常の/日課
chore,雑用
commute,通勤
commuter,通勤者
grocery,食料雑貨品
greet,〜に挨拶する
souvenir,お土産
degree,程度
extent,程度
scale,規模
moderate,適度の・穏やかな
temperate,適度の
proper,適切な
properly,適切に
appropriate,適切な
extreme,極端な
extremely,極端に
tremendous,莫大な
excess,過剰な
excessive,過度の
excessively,過度に
extra,余分な
gradual,徐々の
gradually,徐々に
steady,着実な
steadily,着実に
sharply,急速に
steep,急な
marked,顕著な
partly,部分的に
entire,全体の
entirely,全く
fully,全く
thorough,徹底的な
thoroughly,徹底的に
ultimate,究極な
ultimately,最終的に
terminal,終点の
terminate,を終わらせる
eventually,結局は
end up,結局～になる
in the long run,長い目で見れば
for good,永遠に
rate,割合・を評価する
proportion,割合
ratio,割合
fraction,一部分
portion,一部分
fragment,断片
segment,部分
cluster,集まり
partial,部分的な・偏った
impartial,公平な
all in all,概して
on the whole,概して
by and large,概して
at large,全体の・逃走中で
at length,詳細にわたって・ついには
lack,を欠く・欠如
lacking,欠けている
devoid,欠けている
run out of,を切らす
short of,が不足している
shortage,不足
scarce,乏しい・希少な
scarcely,ほとんど～ない
scant,乏しい
vacant,空いている
vacancy,空室
for want of,が不足して
dense,密集した
density,密度
sake,ため
for the sake of A,Aのために
for A's sake,Aのために
vain,無駄な
in vain,無駄に
dawn,夜明け・はじまり
dawn on,に分かり始める
tickle,くすぐる
radioactive,放射性の
convey,を伝える・運搬する
impart,を与える
donate,を寄付する
donation,寄付
endow,に授ける
bestow,を授ける
distract,の気をそらす
distraction,気を散らすもの・気晴らし
evade,を回避する
evasion,回避
divert,をそらす
divertion,方向転換・気分転換・迂回路
expel,を追い出す
repel,を追い払う
disperse,を散らす
circulate,を循環させる・流通させる・広がる
circulation,循環・発行部数
encounter,に出くわす
bump into,にばったり出会う
come across,を偶然見つける
trace,をたどる・痕跡
overwhelm,を圧倒する
overwhelming,圧倒的な
overtake,に追いつく・を襲う
undergo,を経験する
descend,下りる・由来する
descendant,子孫
descent,下降・家系
ascend,上る
ascent,上昇
plunge,落ちる
embrace,を抱く・採用する
embody,を具体的に表現する
render o c,oをcにする
modify,を修正する
modification,修正
restore,を復元する
restoration,復元
relieve,を解放する・安心させる
relief,安堵・救援
retreat,退却する
retrieve,を取り戻す
retrieval,回収
resume,を再開する・履歴書
resumption,再開
dissolve,溶解する・を解散する
erase,を消す
delete,を消去する
wipe out,を絶滅させる
suspend,を一時停止にする・つるす
suspension,中止
choke,を窒息させる
suffocate,を窒息させる
squeeze,を絞る
spill,をこぼす
short of,が不足している
shortage,不足
scarce,乏しい・希少な
scarcely,ほとんど～ない
scant,乏しい
vacant,空いている
vacancy,空室
for want of,が不足して
dense,密集した
density,密度
sake,ため
for the sake of A,Aのために
for A's sake,Aのために
vain,無駄な
in vain,無駄に
dawn,夜明け・はじまり
dawn on,に分かり始める
tickle,くすぐる
radioactive,放射性の
make up,埋め合わせる・仲直りする・をでっちあげる・化粧する
compensate for A,Aの埋め合わせをする
compensation,補償
make out,を理解する
make for,へ向かう・に役立つ
turn out,であることが分かる・を産出する・繰り出す
turn up,現れる
turn down,を断る・の音量を下げる
turn to,に頼る
take in,を取り入れる・理解する・を騙す
take on,を帯びる・引き受ける
take after,に似る
take up,を占める・を取り上げる
take over,を引き継ぐ
take to,が好きになる・習慣になる
put on airs,気取る
put out,を消す
to put it / put,言うと
do,よい・間に合う
make do with,で間に合わせる
give away,をゆずる・明かす
give in to A,Aに屈する
give off,を発する
come up with,を思いつく
come about,起こる
come into being,生じる
come to,意識が戻る・になる
come in handy,役に立つ
Come on.,おいおい
go on to do,さらに続けて～する
go off,爆発する・去る
Go ahead.,どうぞ
bring about,を引き起こす
bring oneself to do,～する気になる
bring A home to B,AをBに分からせる
get at,を言おうとする
get by,なんとかやりくりする
get～across,を伝える
let go of,を手放す
let～in,を中に入れる
let alone,ましてや～ない
pull up,を止める
make it,都合がつく・間に合う
That's it.,もう終わりだ・まさにそれだ
This is it.,これだ
That is that.,それだけのこと
turn in,を提出する
come by,を手に入れる
hold on to,～をしっかりつかむ
make up for,の埋め合わせをする
make up with A,Aと仲直りする
to put it another way,別の言い方をすると
to put it simply,簡単に言うと
How does it come about…?,どうして…?
How come…?,どうして…?
go on to university,大学に進学する
shortage,不足
scarce,乏しい・希少な
scarcely,ほとんど～ない
scant,乏しい
vacant,空いている
vacancy,空室
for want of,が不足して
dense,密集した
density,密度
sake,ため
for the sake of A,Aのために
for A's sake,Aのために
vain,無駄な
in vain,無駄に
dawn,夜明け・はじまり
dawn on,に分かり始める
tickle,くすぐる
radioactive,放射性の
make much of A,Aを重視する
make the most of,を最大限利用する
make the best of,をできる限り利用する
make sure,確実に～する・を確かめる
make ends meet,やりくりする
make believe,のふりをする
make a scene,ひと騒ぎする
think much of,を高く評価する
think better of,を考え直す
think twice,よく考える
on second thought,やっぱり
show off,を見せびらかす
show up,現れる
in the way of A,Aの邪魔になって
make one's way,前進する
find one's way,たどり着く
go out of one's way to do,わざわざ～する
by way of,を経由する
have a way of doing,～する癖・傾向がある
in a way,ある意味で
under way,進行中で
true for[of],にあてはまる
hold true,あてはまる
true to life,実物そっくりの
give rise to,を引き起こす
give birth to,を産む・引き起こす
put an end to,を終わらせる
take turns,交替する
in turn,それが今度は
in return,お返しに
out of the question,論外である
in question,問題になっている
on end,続けて・まっすぐに
in a row,続けて
so far,今までのところ
go so far as to do,～までする
up to,～まで・～次第で・を企んで
leave behind,を置き忘れる・を置いていく
leave out,を除外する
rule out,を除外する
back and forth,行ったり来たり
upside down,上下逆さまに
inside out,裏返しに
vice versa,逆もまた同様
other way around,あべこべ
this and that,あれこれと
be true to,～に忠実である
make nothing of A,Aを軽視する
What do you make of A,Aをどう思うか？
think nothing of A,Aを何とも思わない
So far so good.,これまでのところは順調だ
live up to A,Aを信条として生きる
to put it simply,簡単に言うと
How does it come about…?,どうして…?
How come…?,どうして…?
go on to university,大学に進学する
shortage,不足
scarce,乏しい・希少な
scarcely,ほとんど～ない
scant,乏しい
vacant,空いている
vacancy,空室
for want of,が不足して
dense,密集した
density,密度
sake,ため
for the sake of A,Aのために
for A's sake,Aのために
vain,無駄な
in vain,無駄に
dawn,夜明け・はじまり
dawn on,に分かり始める
tickle,くすぐる
radioactive,放射性の
for the good of,～のために
as good as,～も同然
get the better of,～に勝る
as good as one's word,約束を守る
know better than to do,～するほど馬鹿ではない
to the best of my knowledge,私の知る限りでは
to say the least,控えめに言っても
take ～ for granted,～を当然とみなす
take one's word for it,～の言うことを信じる
take it easy,気楽にやる
keep up with,～に遅れずに付いていく
catch up with,～に追いつく
fall behind,遅れる
keep in touch with,～と連絡を取り合う
get in touch with,～と連絡を取る
look into,～を調べる
look over,～にざっと目を通す
look on A as C,AがCであるとみなす
pass on [down] A to B,AをBに伝える
pass on [down] A to B,AをBに手渡す
pass for [as],～として通る
pass out,気絶する
pass away,亡くなる
reach out for,～に手を伸ばす
reach A,Aに到着する
set out [off],出発する・を引き起こす
set ～ free,を解放する
work out,を解く・うまくいく
work on,に取り組む・働き続ける
pick up,を拾う・を車に乗せる・を買う・を身につける
part with,を手放す
live on,に頼って生きる・主食とする
fall back on,に頼る
rest on,に頼る・基づく
cut down on,を減らす
section,部分・節
point,要点
to the point,的を射ている
make a point of,必ず～することにしている・を重視する
keep an eye on,を見張る
have an eye for,を見る目がある
turn a deaf ear to,を聞こうとしない
make a face,顔をしかめる
remain to do,まだ～していない
have [be] yet to do,まだ～していない
on behalf of,を代表して
second to none,誰にも負けない
once and for all,きっぱりと
at stake,危険にさらされて・問題となって
Beats me.,分からない
Serves you right.,当然の報いだ
Give me a break.,よしてくれよ
call it a day,今日はもう終わり
set about,を始める
set in,始まる
catch on (to),流行する・(～を)理解する
remain to be seen,まだ分からない
scarce,乏しい・希少な
scarcely,ほとんど～ない
scant,乏しい
vacant,空いている
vacancy,空室
for want of,が不足して
dense,密集した
density,密度
sake,ため
for the sake of A,Aのために
for A's sake,Aのために
vain,無駄な
in vain,無駄に
dawn,夜明け・はじまり
dawn on,に分かり始める
tickle,くすぐる
radioactive,放射性の
mental,頭の・心の
mentality,精神構造
spirit,精神・気分・霊魂
spiritual,精神の・霊魂の
soul,魂・人
material,素材・物質的な
materialism,物質主義
sane,正気の
sanity,正気
insane,精神異常の
abuse,を乱用する・虐待する
addict,を中毒にさせる・麻薬中毒者
mental ability,知力
mental disease,心の病
raw material,原材料
teaching material,教材
go insane,頭がおかしくなる
drug abuse,麻薬の乱用
child abuse,児童虐待
be addicted to A,Aの中毒である
addictive,中毒性の
addiction,中毒
injure,に怪我をさせる
injury,怪我
wound,を負傷させる
the wound,負傷者
bleed,出血する
scratch,引っかき傷・を引っかく
from scratch,ゼロから
bruise,あざ・に打撲を負わせる
suffer,苦しむ・経験する
suffer from A,Aで苦しむ
suffer A,Aを経験する
torture,を拷問する
torment,を苦しめる
vigor,活力
vigorous,活力のある
feeble,弱々しい
fatigue,疲労
weary,疲れている・飽き飽きしている
be weary of A,Aに疲れている
tedious,退屈な
dreary,退屈な・わびしい
thumb,親指
palm,手のひら
wrist,手首
fist,握りこぶし
elbow,ひじ
muscle,筋肉
thigh,太もも
knee,膝
on one's hands and knees,四つん這いになって
kneel,ひざまずく
heel,かかと
ankle,足首
toe,つま先
to one's feet,立った状態で
chest,胸・タンス
limb,手足
forehead,ひたい
eyebrow,眉毛
eyelid,まぶた
eyelash,まつげ
beard,あごひげ
jaw,あご
chin,あご
cheek,頬
tremble,震える
shiver,震える
quiver,震える
shudder,身震いする
one's big toe,足の親指
get to one's feet,立ち上がる
wander,さまよう
genuine,本物の・心からの
authentic,本物の
fake,偽物の
cordial,心からの
sheer,全くの
elaborate,精巧な・複雑な
intricate,複雑な
exquisite,精緻な
sophisticated,洗練された
false,間違った・偽の
proficient,熟達した
proficiency,熟達
negative,否定的な・消極的な
affirmative,肯定的な・積極的な
positive,積極的な・確信している
vertical,垂直の
horizontal,水平の
parallel,平行の・匹敵するもの
indifferent,無関心な
in the affirmative,イエスで
be indifferent to A,Aに対して無関心である
indifference,無関心
infamous,悪名高い
notorious,悪名高い
uneasy,不安な
awkward,気まずい・ぎこちない
clumsy,不器用な
restless,落ち着きがない
relentless,情け容赦ない
ruthless,情け容赦ない
reckless,向こう見ずな
stupid,ばかな
silly,ばかな
absurd,ばかげた
ridiculous,ばかばかしい
ridicule,をあざ笑う・嘲笑
ludicrous,滑稽な
fragile,壊れやすい
vulnerable,傷つきやすい
delicate,繊細な・病弱な
stiff,堅い・堅苦しい
rigid,堅い・厳格な
flexible,柔軟な
be vulnerable to A,Aに対して弱い
flexibility,柔軟性
arrogant,傲慢な
arrogance,傲慢
conceited,うぬぼれた
conceit,うぬぼれ
humble,謙虚な・質素な
stubborn,頑固な
obstinate,頑固な
fierce,激しい
harsh,厳しい
stern,厳格な
brave,勇敢な
bravery,勇敢さ
bold,大胆な
timid,臆病な
intimidate,を怯えさせる
deliberate,意図的な・慎重な
deliberately,意図的に・慎重に
discreet,慎重な
prudent,慎重な
imprudent,軽率な
impudent,図々しい
subtle,微妙な
drastic,劇的な
integral,必要不可欠な・完全な
integrate,を統合する
integrity,完全な状態・誠実さ
decent,まともな
neat,こぎれいな・すばらしい
neat and tidy,きちんと整えられた
initiative,主導権
take the initiative,主導権をとる
initiate,を始める
security,安全性
secure,を確保する
merit,長所
access,交通の便・利用
have access to A,Aを利用・入手できる
accessible,行ける・入手利用可能な
technique,技術
horror,恐怖
horrible,恐ろしい
horrify,を怖がらせる
terror,恐怖
terrible,恐ろしい
terrific,すばらしい
terrify,を怖がらせる
terrorism,テロ
symbol,象徴
symbolic,象徴的な
symbolize,を象徴する
barrier,障壁
gap,差
dilemma,ジレンマ
stretch,を伸ばす・広がる
a barrier to,Aに対する障壁
a gap between A and B,AとBとの隔たり
elite,エリート
series,連続
serial,連続した
cereal,穀物
irregular,不規則な
item,項目
relax,をくつろがせる
mood,気分
tight,きつい
severe,厳しい
puzzle,を戸惑わせる
pause,一時休止
reverse,を逆にする
reversal,逆転
a series of A,一連のA
pose,ポーズをとる・を提起する
pose a problem,問題を提起する
random,無作為の
bitter,苦い
float,浮く・を浮かべる
recipe,調理法・秘訣
luxury,贅沢
luxurious,贅沢な
at random,無作為に
charity,慈善
athlete,運動選手
athletic,運動の
label A as C,AにCというレッテルを貼る
loose,ゆるんだ
come loose,ゆるむ
loosen,をゆるめる
humor,ユーモア・機嫌
a sense of humor,ユーモアのセンス
be in a good humor,機嫌がいい
humorous,ユーモアのある
image,イメージ
amateur,アマチュア
theme,主題
leisure,余暇
alcohol,アルコール
vitamin,ビタミン
liver,肝臓
chaos,混沌
connect A with B,AをBと繋げる
connection,繋がり
appoint,を指名する
appointment,約束
educate,を教育する
education,教育
educational,教育の
discipline,しつけ・規律・学問分野
instruct A to do,Aに～するように指示する
instruction,指示・教育
instructive,教育的な
enlighten,を啓蒙・啓発する・教える
enlightenment,啓蒙・啓発
illuminate,を照らす・明らかにする
illumination,照明・解明
inspire,を奮起させる
inspiration,ひらめき
an educated person,教養のある人
inspire A to do,Aに～するように奮起させる
incentive,動機付け
enroll,を登録する・入学する
be enrolled in,Aに登録・在籍している
enrollment,登録・入学
register,を登録する・記録する
registration,登録
sign up for A,Aに登録する
tuition,授業料
tutor,家庭教師
faculty,学部・能力
facility,施設・容易さ
facilitate,を容易にする
sophomore,２年生
semester,学期
curriculum,教育課程
diploma,学位
grade,学年・成績
degrade,を低下させる
mark,成績・印
rank,階級・位置する
profession,職業
professional,プロの
vocation,天職
candidate,候補者
colleague,同僚
technology,科学技術
technological,科学技術の
innovation,革新
innovative,革新的な
innovate,を革新する
novel,小説・新奇な
novelty,目新しいもの
breakthrough,大躍進
exploit,を開発・利用する・搾取する
exploitation,開発・利用・搾取
tool,道具
implement,道具・実行する
instrument,楽器・器具
machinery,機械類
appliance,電気製品
apparatus,装置
gadget,機械装置
function,機能・機能する
electric,電気の
electricity,電気
electronics,電子工学
vehicle,乗り物
automobile,自動車
wheel,車輪・ハンドル
pedestrian,歩行者
pave,を舗装する
pavement,舗道
manual,手動の・マニュアル
automatic,自動の
automatically,自動的に
at/behind the wheel,運転して
manual labor,肉体労働
an electric appliance,電化製品
instruct A in B,AにBを教える
cover,を覆う・の範囲にわたる・報道する
coverage,報道
fine,すばらしい・細かい・罰金
fine art,芸術
refine,を洗練する
confine,限定する・閉じ込める
confine A to B,AをBに限定する
confine oneself to A,Aに閉じこもる
leave,を出発する・残す・休暇
on leave,休暇中で
take leave,いとまごいする
leave for A,Aに向けて出発する
leave A to B,AをBに任せる
strike,を打つ・に印象を与える・ストライキ
strike A as C,AにCという印象を与える
go on strike,ストライキを起こす
run,走る・経営する
meet,に会う・を満たす
coin,コイン・を作り出す
room,部屋・空間・余地
story,物語・～階建て
manner,方法・行儀
address,住所・に差し向ける・取り組む・話しかける
address A to B,AをBに差し向ける
address A,Aに取り組む・話しかける
forward,前方へ・を転送する
look forward to A,Aを楽しみに待つ
forward A to B,AをBに転送する
straightforword,単純明快な
chance,機会・可能性・偶然
take a chane,一か八かやってみる
Chances are that,おそらく～だろう
by chance,偶然に
address oneself to A,Aに話しかける
air,空気・外見・態度
put on airs,気取る
lot,大量のもの・区画・宿命
a lot of A,たくさんのA
a parking lot,駐車場
change,を変える・変化・小銭
for a change,たまには
second,２番目の・秒
a second-hand car,中古車
a second helping,おかわり
cross,を横切る・機嫌の悪い
be cross with A,Aに対して怒っている
will,意志・遺言
at one's will,意のままに・自由に
sound,音・のように聞こえる・健全な・ぐっすりと
fast,速い・固定した・しっかりと・断食する
fasten,を固定する
life,人生・生活・生命・人命
art,芸術・技術・人文学
service,設備・勤務・兵役
serve A B,AをBに出す
serve B to A,AをBに出す
serve to do,～するのに役立つ
serve as C,Cとして役立つ
order,命令・注文・順序・秩序
put A in order,Aを整理する
be out of order,故障中である
order A from B,AをBに注文する
disorder,無秩序・疾患
practice,練習・実践・慣習
put A into practice,Aを実行する
liberal arts education,一般教養
minute,微細な
excuse,言い訳
command,命令・自由に使う能力・を見晴らす
charge,非難・料金・責任
charge A with B,AをBで告発する
free of charge,無料で
in charge of A,Aを担当して
hold on,電話を切らずにいる・持ちこたえる
history,歴史・経歴
historical,歴史上の
historic,由緒ある
prehistoric,有史以前の
dinosaur,恐竜
ape,類人猿
primate,霊長類
mammal,哺乳類
upright,直立した・直立して
archaeology,考古学
civilization,文明
civilize,を文明化する・洗練する
stripe,しま・筋
rubber,ゴム
civil,市民の
civilian,民間の・一般市民
medieval,中世の
feudal,封建制の
feudalism,封建制度
Renaissance,ルネサンス
revolution,革命
revolutionate,革命を起こす
a civil war,内戦
the Civil War,南北戦争
revolutionary,革命的な
revolve,回転する
empire,帝国
emperor,皇帝
the British Empire,大英帝国
imperial,帝国の
imperialism,帝国主義
colony,植民地
colonize,を植民地化する
slave,奴隷
slavery,奴隷状態
modern,現代の
modernity,現代
modernization,現代化
metropolis,大都市
metropolitan,大都市の
bustle,喧噪
skyscraper,超高層ビル
military,軍事の
army,陸軍・軍隊
arms,武器
armed,武装している
disarmament,軍縮
navy,海軍
navigation,航海
soldier,兵士
troop,軍隊
hostage,捕虜
weapon,武器
sword,剣
the U.S. Army,アメリカ陸軍
nuclear arms,核兵器
the armed forces,軍隊
strategy,戦略
strategic,戦略上の
tactics,戦術
neutral,中立の
ally,同盟国
rally,集会
assault,を攻撃する・暴行する
raid,急襲
assassination,暗殺
the Allies,連合国
excuse,言い訳
command,命令・自由に使う能力・を見晴らす
charge,非難・料金・責任
charge A with B,AをBで告発する
free of charge,無料で
in charge of A,Aを担当して
hold on,電話を切らずにいる・持ちこたえる
thus,それ故に・このように
hence,それ故に・後に
nevertheless,それにもかかわらず
nonetheless,それにもかかわらず
notwithstanding,それにもかかわらず
all the same,それでもやはり
despite,～にもかかわらず
besides,～に加えて
moreover,さらに
furthermore,さらに
whereas,その一方で
on the other hand,他方では
meanwhile,その間に
in the meantime,その間に
that is (to say),すなわち
namely,すなわち
in short,つまり
say,例えば
for instance,例えば
instance,事例
indeed,たしかに
somewhat,いくぶん
somehow,どういうわけか・なんらかの方法で
otherwise,さもなければ・その他の点で・違ったふうに
given,があれば・を考慮すると・任意の
rightly,正当に
justly,正当に
mistakenly,間違って
reportedly,報じられるところでは
presumably,おそらく
presume,を想定する
seemingly,見たところでは
as a matter of fact,実は
for that matter,さらに言えば
thereby,それによって
whatsoever,全く
beeath,～の下に
modernization,現代化
metropolis,大都市
metropolitan,大都市の
bustle,喧噪
skyscraper,超高層ビル
military,軍事の
army,陸軍・軍隊
arms,武器
armed,武装している
disarmament,軍縮
navy,海軍
navigation,航海
soldier,兵士
troop,軍隊
hostage,捕虜
weapon,武器
sword,剣
the U.S. Army,アメリカ陸軍
nuclear arms,核兵器
the armed forces,軍隊
strategy,戦略
strategic,戦略上の
tactics,戦術
neutral,中立の
ally,同盟国
rally,集会
assault,を攻撃する・暴行する
raid,急襲
assassination,暗殺
the Allies,連合国
excuse,言い訳
command,命令・自由に使う能力・を見晴らす
charge,非難・料金・責任
charge A with B,AをBで告発する
free of charge,無料で
in charge of A,Aを担当して
hold on,電話を切らずにいる・持ちこたえる
premise,前提
discourse,講演
transcend,を超える
ascribe A to B,Aの原因をBに帰する
intrinsic,本来備わっている
articulate,発音する・をつなぐ
formula,公式
formulate,を公式化する
contend　that,～と主張する
contend with A,Aと争う・に対処する
advocate,を提唱する・提唱者
delegation,使節
sanction,制裁・認可
pledge,誓約する
agenda,協議事項
amend,を改正する
intuition,直感
intuitive,直感による
discern,を見分ける
skeptical,懐疑的な
skeptic,懐疑的な人
impose sanctions on A,Aに制裁を加える
by intuition,直感で
benevolent,好意的な
benevolence,好意
benign,良性の・優しい
malicious,悪意のある
malice,悪意
hypocrisy,偽善
hypocrite,偽善者
undermine,を阻害する・弱体化させる
deteriorate,悪化する
deterioration,悪化
exalt,を高める
trigger,を引き起こす
induce A to do,Aを～する気にさせる
induce,を誘発する・をする気にさせる
deduce,を導き出す・推測する
deductive,演繹的な
allure A to do,～するようにAを誘惑する
intrigue,の興味をそそる・陰謀
momentum,勢い
velocity,速度
chronic,慢性的な
lapse,経過・誤り
gravity,重力
gravitation,引力
grave,重大な・墓
from cradle to grave,ゆりかごから墓場まで
orbit,軌道・の軌道を回る
axis,軸
fluid,流動性の
erode,腐食する・侵食する
erosion,腐食・侵食
erupt,噴火する
eruption,噴火
the armed forces,軍隊
strategy,戦略
strategic,戦略上の
tactics,戦術
neutral,中立の
ally,同盟国
rally,集会
assault,を攻撃する・暴行する
raid,急襲
assassination,暗殺
the Allies,連合国
excuse,言い訳
command,命令・自由に使う能力・を見晴らす
charge,非難・料金・責任
charge A with B,AをBで告発する
free of charge,無料で
in charge of A,Aを担当して
hold on,電話を切らずにいる・持ちこたえる
assimilate,を吸収する
assimilate into A,Aに同化する
adhere to A,Aにくっつく・固守する
adherence,固守
commence,を始める
commencement,始め
banish,を追放する
exile,亡命・を追放する
be in exile,亡命している
probe,探査・を厳密に調べる
scrutinize,を綿密に調べる
scrutinity,綿密な調査
verify,を証明する
census,国勢調査
sculpture,彫刻
censorship,検閲
index,指標・見出し
one's index finger,人差し指
a price index,物価指標
defy,に反抗する
defiance,反抗
comply with A,Aに従う
compliance,遵守
synthesize,を総合する・合成する
synthesis,総合・合成
photosynthesis,光合成
synthetic,総合的な・合成された
coordinate,を同調して動かす
coodination,同調
subordinate,従属している・従属するもの・従属させる
incorporete A into B,AをBに組み込む
corporation,会社
corporate,企業の
comprise,を構成する・～からなる
manipulate,を巧みに操作する
manipulation,操作
tangible,触れることができる・具体的な
designation,指定
designate,を指定する
depict,を描く
ingenious,創意工夫にとんだ
ingenuity,創意工夫
ingenuous,無邪気な
dismay,を動揺させる・動揺
to one's dismay,がっかりしたことには
appall,をぎょっとさせる
stun,をびっくりさせる
marvel at A,Aに驚く
marvelous,すばらしい
perplex,を当惑させる
bewilder,を当惑させる
bewilderment,当惑
astound,をびっくりさせる
startle,をびっくりさせる
anticipate,を予期する
anticipation,良き
apprehension,懸念
apprehensive,懸念している
deplore,を嘆く
deplorable,嘆かわしい
agony,苦悩
inflict A on B,BにAを与える
afflict,を苦しめる
calamity,災難
uneven,不均衡な
overflow,氾濫する
the Allies,連合国
excuse,言い訳
command,命令・自由に使う能力・を見晴らす
charge,非難・料金・責任
charge A with B,AをBで告発する
free of charge,無料で
in charge of A,Aを担当して
hold on,電話を切らずにいる・持ちこたえる
ambivalent,相反する
ambivalence,相反
arbitrary,任意の・独断的な
unanimous,満場一致の
consensus,意見の一致
ponder,をじっくり考える
reckon,と考える
contrive,を考案する
soar,急上昇する
roar,吠える
peer,仲間
reap,を収穫する
curb,を抑制する
carve,を彫る
cue,合図・手掛かり
queue,行列
slap,をぴしゃりとたたく
clap,をたたく
hatch,孵化する
drain,の排水をする
sewage,下水
sew,を縫う
knit,を編む
sober,しらふの・をまじめにする
sobering,まじめにする
kin,血縁
kinship,血縁関係・親近感
be akin to A,Aと同種の
merge,合併する
merger,企業合併
merger and acquisition,企業合併
riot,暴動
galaxy,銀河
cosmos,宇宙
cosmic,宇宙の
celestial,天体の
comet,彗星
particle,粒子
psychiatric,精神医学の
contaminate,を汚染する
contamination,汚染
spesimen,標本
celestial bodies,天体
be contaminated with,～に汚染されている
indigenous,原住民の
province,州
provincial,地方の
peril,危険
perilous,危険な
hazard,危険
hazardous,危険な
plausible,もっともらしい
implausible,ありえそうもない
preliminary,予備の
anonymous,匿名の・作者不詳の
obsolete,すたれた
innate,生まれつき備わっている・固有の
indigenous people,先住民
be in peril,危険な状態にある
deplorable,嘆かわしい
agony,苦悩
inflict A on B,BにAを与える
afflict,を苦しめる
calamity,災難
uneven,不均衡な
overflow,氾濫する
the Allies,連合国
excuse,言い訳
command,命令・自由に使う能力・を見晴らす
charge,非難・料金・責任
charge A with B,AをBで告発する
free of charge,無料で
in charge of A,Aを担当して
hold on,電話を切らずにいる・持ちこたえる
subsequent,その後の
subsequently,その後
alleviate,を軽減する
mandatory,強制的な
imperative,必須の
advent,到来
heredity,遺伝
coherent,首尾一貫した
coherence,一貫性
cohesion,結束
incoherent,首尾一貫しない
legitimate,正当な
certificate,証明書
autonomy,自治・自主性
withstand,に耐える
supplent,を補う
dispose,する気にさせる・を配置する
disposition,気質・配置
be disposed to do,～したい気分である
array,を配置する・配列
humane,思いやりのある
personnel,人事部
maxim,格言・行動原理
questionaire,アンケート
manifest,を明らかに示す・明白な
manifestation,明らかにすること
connotation,言外の意味
dogma,教義・独断
prophet,預言者
symmetry,左右対称
symmetrical,左右対称の
rectangular,長方形の
diameter,直径
soothe,をなだめる
wither,しおれる
surge,急増する
proliferate,急増する
fetch,を取ってくる
be immerse in A,Aに没頭している
hamper,を妨げる
token,しるし
zeal,熱意
zealous,熱心な
toll,被害・通行料
take a toll,被害をもたらす
as(in) a token of A,Aのしるしとして
doom,運命・を運命づける
be doomed to do(to A),～する(Aになる)運命にある
flaw,欠陥
cater for(to) A,Aに応じる
edible,食べられる
deliquent,非行の
deliquency,非行
grand,壮大な・偉大な
gigantic,巨大な
static,静止した
antique,骨董の
antiquity,大昔
transact,を処理する
transaction,処理・取引
ornament,装飾
adorn,を飾る
warrant,を保証する・正当化する
warranty,保証・正当な理由
symphony,交響曲
mischief,いたずら
get into mischief,いたずらをする
up to mischief,いたずらを企んでいる
mischievous,いたずら好きの
charge,非難・料金・責任
charge A with B,AをBで告発する
free of charge,無料で
in charge of A,Aを担当して
hold on,電話を切らずにいる・持ちこたえる